,Product Title,Product MRP,Discounted Price,Product Image URL,Product URL,Product Rating,Rating Count
26,Statement Waffle Tank Top,Rs.799,Rs.751,https://assets.myntassets.com/No image found,https://www.myntra.comlounge-tshirts/damensch/damensch-sleeveless-statement-waffle-lounge-tshirts/28874524/buy,4.4,200
27,Kids Printed Cotton Tshirts,Rs.999,Rs.499,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/puma/puma-kids-printed-cotton-crew-neck-tshirts/26230356/buy,4.7,14
28,Men Carmelon Regular Fit Polo,Rs.3699,Rs.1775,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/rare+rabbit/rare-rabbit-men-carmelon-regular-fit-polo-collar-t-shirt/28542900/buy,4.4,106
29,Cotton Lounge Tshirts,No MRP found,No discounted price found,https://assets.myntassets.com/No image found,https://www.myntra.comlounge-tshirts/max/max-men-blue-cotton-lounge-tshirts/20961950/buy,4.2,215
30,Training Rapid-Dry Tshirts,Rs.899,Rs.377,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-training-men-formula-red-rapid-dry-brand-carrier-tshirts/17860728/buy,4.1,795
31,Slim Fit Cotton T-Shirt,Rs.3299,Rs.1814,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/rare+rabbit/rare-rabbit-men-herval-button-down-collar-slim-fit-cotton-t-shirt/23669074/buy,4.1,1.4k
32,Polo Collar Lounge Tshirts,No MRP found,No discounted price found,https://assets.myntassets.com/No image found,https://www.myntra.comlounge-tshirts/lux+cozi/lux-cozi-polo-collar-lounge-tshirts/28138192/buy,4.1,2.1k
33,Pure Cotton Lounge Tshirts,Rs.999,Rs.499,https://assets.myntassets.com/No image found,https://www.myntra.comlounge-tshirts/kanvin/kanvin-printed-pure-cotton-lounge-tshirts/30206024/buy,No rating found,No rating count found
34,Pure Cotton T-shirt,No MRP found,No discounted price found,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/arrow+sport/arrow-sport-polo-collar-pure-cotton-t-shirt/28292176/buy,No rating found,No rating count found
35,U-17 Boys Lifestyle Tshirts,Rs.1199,Rs.491,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-u-17-lifestyle-boys-lemon-drop-bio-wash-graphic-tshirts/15403582/buy,4.3,197
36,Waffle Lounge Tshirts,Rs.799,Rs.751,https://assets.myntassets.com/No image found,https://www.myntra.comlounge-tshirts/damensch/damensch-sleeveless-statement-waffle-lounge-tshirts/28874526/buy,4.4,200
37,Men Rique Regular Fit Polo,Rs.3599,Rs.3419,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/rare+rabbit/rare-rabbit-men-rique-regular-fit-polo-collar-t-shirt/29951923/buy,4.3,13
38,Training Rapid-Dry Tshirts,Rs.699,Rs.384,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-training-women-satin-sky-rapid-dry-typography-tshirts/17784292/buy,4.3,2.1k
39,Sleeveless Running Tshirts,Rs.599,Rs.215,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-sleeveless-running-tshirts/26873152/buy,4.2,33
40,Men Gamor Regular Fit Polo,Rs.3499,Rs.1749,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/rare+rabbit/rare-rabbit-men-gamor-polo-collar-short-sleeves-t-shirt/29318794/buy,4.2,63
41,Training Rapid-Dry Tshirts,Rs.899,Rs.395,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-training-men-jet-black-rapid-dry-brand-carrier-tshirts/17861018/buy,4.2,2.8k
