,Product Title,Product MRP,Discounted Price,Product Image URL,Product URL,Product Rating,Rating Count
27,Slim Fit T-shirt,Rs.999,Rs.599,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/alcis/alcis-slim-fit-running-t-shirt/30065656/buy,No rating found,No rating count found
28,Polo Collar Cotton T-shirt,No MRP found,No discounted price found,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/arrow+sport/arrow-sport-polo-collar-short-sleeves-cotton-t-shirt/29167160/buy,No rating found,No rating count found
29,Fitted T-shirt,No MRP found,No discounted price found,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/h%26m/hm-fitted-t-shirt/30154474/buy,3.5,20
30,Boys Pack of 5 Printed T-shirt,Rs.1400,Rs.630,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/googo+gaaga/googo-gaaga-boys-pack-of-5-typography-printed-t-shirt/27634242/buy,4.3,41
31,Men Carmelon Regular Fit Polo,Rs.3699,Rs.1775,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/rare+rabbit/rare-rabbit-men-carmelon-regular-fit-polo-collar-t-shirt/28542900/buy,4.4,106
32,Boys Printed Oversized Tshirt,Rs.999,Rs.419,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/veirdo/veirdo-boys-printed-round-neck-pure-cotton-oversized-tshirt/30222779/buy,4.3,32
33,Pure Cotton Oversized T-shirt,Rs.1399,Rs.699,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/bewakoof/bewakoof-disney-the-lion-king-printed-drop-shoulder-sleeves-pure-cotton-oversized-t-shirt/27125190/buy,4.9,8
34,Slim Fit Cotton T-Shirt,Rs.3299,Rs.1814,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/rare+rabbit/rare-rabbit-men-herval-button-down-collar-slim-fit-cotton-t-shirt/23669074/buy,4.1,1.4k
35,Harry Potter Sequinned T-shirt,Rs.550,Rs.451,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/nap+chief/nap-chief-kids-reversible-black-harry-potter-sequinned-round-neck-t-shirt/13980360/buy,4.6,706
36,Printed Cotton Lounge Tshirt,No MRP found,No discounted price found,https://assets.myntassets.com/No image found,https://www.myntra.comlounge-tshirts/dreamz+by+pantaloons/dreamz-by-pantaloons-typography-printed-pure-cotton-lounge-tshirt/29327196/buy,4.8,5
37,Men Solid Cotton T-shirt,No MRP found,No discounted price found,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/arrow+sport/arrow-sport-men-burgundy-solid-polo-collar-cotton-t-shirt/20747788/buy,4.1,53
38,Women Printed T-shirt,Rs.1099,Rs.494,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-women-brand-logo-printed-t-shirt/28890622/buy,4.3,401
39,Printed Round Neck T-shirt,Rs.899,Rs.314,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/mast+%26+harbour/mast--harbour-women-white--blue-printed-round-neck-t-shirt/11185036/buy,4.2,1.6k
40,Pure Cotton T-shirt,No MRP found,No discounted price found,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/arrow+sport/arrow-sport-polo-collar-pure-cotton-t-shirt/28292176/buy,No rating found,No rating count found
