,Product Title,Product MRP,Discounted Price,Product Image URL,Product URL,Product Rating,Rating Count
253,Men Forza Running Shoes,Rs.4499,Rs.1799,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17663240/2022/10/13/dac62525-653c-42ea-b640-abd86ee85f741665652860315-Puma--Men-Grey-Solid-Woven-Design-Forza-Running-Shoes-200166-1.jpg",https://www.myntra.comsports-shoes/puma/-puma--men-grey-solid-woven-design-forza-running-shoes/17663240/buy,4.2,4.4k
108,Firebird Running Shoes,Rs.5499,Rs.1979,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16557778/2023/6/7/4d89c724-d10a-4ffc-9c86-b18283bf64561686135913415-Cultsport-Unisex-Black-Mesh-RN03-Firebird-Running-Shoes-8391-1.jpg",https://www.myntra.comsports-shoes/cultsport/cultsport-unisex-firebird-running-shoes/16557778/buy,4.3,384
101,Women Smashic Sneakers,Rs.4499,Rs.2024,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21766806/2023/1/30/608c7f51-219e-4322-b11f-9f164d1301521675095260495PumaSmashicWomensSneakers1.jpg",https://www.myntra.comcasual-shoes/puma/puma-women-smashic-sneakers/21766806/buy,4.3,6.5k
10,Unisex Badminton Indoor Shoes,Rs.4999,Rs.2149,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25841290/2023/11/10/904965cc-764d-46d7-92c7-f20a3f5e98971699605661861PumaBadmintonSmashSprintUnisexIndoorShoes1.jpg",https://www.myntra.comsports-shoes/puma/puma-unisex-badminton-smash-sprint-indoor-shoes/25841290/buy,4.2,3.2k
209,Women GoRun 400 - Running Shoe,Rs.4499,Rs.2474,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28730674/2024/7/12/a6501bd6-c060-49b2-ae30-c371c4e9c5b31720766669805-SKECHERS-SHOES-WOMEN-481720766669242-1.jpg",https://www.myntra.comsports-shoes/skechers/skechers-women--go-run-400---action--running-shoes/28730674/buy,4.1,18
54,Men 520 Running Shoes,Rs.4999,Rs.2499,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29534344/2024/5/30/76260728-d3d0-427d-bb37-6eb30d1cd0241717062037868-New-Balance-520-Running-Shoes-3931717062037519-1.jpg",https://www.myntra.comsports-shoes/new+balance/new-balance-men-woven-design-520-running-shoes/29534344/buy,3.8,28
152,Girls Disney Princess Slip-On Sneakers,Rs.999,Rs.299,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/10/21/17b94f02-ec7b-4293-bb44-664c13dd79101571651470759-1.jpg",https://www.myntra.comcasual-shoes/toothless/toothless-princess-girls-blue-disney-princess-slip-on-sneakers/10846934/buy,4.6,18
56,Men Lightweight Sneakers,Rs.5990,Rs.2995,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28422708/2024/3/21/89ecf38c-94ba-499d-b835-ff78cd45d08e1711012669361RuoshMenTexturedLeatherSneakers1.jpg",https://www.myntra.comcasual-shoes/ruosh/ruosh-men-lightweight-comfort-insole-contrast-sole-textured-leather-sneakers/28422708/buy,4.2,10
201,Men Lightweight Sneakers,Rs.5990,Rs.2995,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28422712/2024/3/21/8f3778cb-978d-45c5-aa98-b378be09ba741711014897652RuoshMenLeatherSneakers1.jpg",https://www.myntra.comcasual-shoes/ruosh/ruosh-men-lightweight-comfort-insole-contrast-sole-textured-leather-sneakers/28422712/buy,4.2,10
251,Men Lightweight Sneakers,Rs.5990,Rs.2995,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28422712/2024/3/21/8f3778cb-978d-45c5-aa98-b378be09ba741711014897652RuoshMenLeatherSneakers1.jpg",https://www.myntra.comcasual-shoes/ruosh/ruosh-men-lightweight-comfort-insole-contrast-sole-textured-leather-sneakers/28422712/buy,4.2,10
